Date,Close,High,Low,Open,Volume
05/01/2006,11.21494102,11.22264602,10.97286769,11.08470903,431899668
06/01/2006,11.57333088,11.69362167,11.26464885,11.35486695,709565724
09/01/2006,11.60414886,11.76569715,11.45602158,11.59197052,511164324
10/01/2006,11.67523098,11.68740838,11.48336089,11.54251179,363520116
11/01/2006,11.72170734,11.80819749,11.6608156,11.7127597,359935704
12/01/2006,11.52287865,11.80521595,11.46994099,11.7736515,404606988
13/01/2006,11.58799458,11.60390087,11.47267343,11.53977748,305957736
17/01/2006,11.60936737,11.67870951,11.49553893,11.50871083,330481188
18/01/2006,11.05761909,11.36704558,11.0163616,11.11701909,818608572
19/01/2006,10.8473568,11.27086369,10.76161299,11.21320264,580910508
20/01/2006,9.928022385,10.9363335,9.810713183,10.90327825,1643023332
23/01/2006,10.62491798,10.64703753,10.08385468,10.12486402,908746344
24/01/2006,11.01089287,11.05861176,10.79839499,10.83691809,617965416
25/01/2006,10.76161194,11.28925323,10.66766495,11.21543869,748842408
26/01/2006,10.79317474,10.93533787,10.52699289,10.92415307,516526956
27/01/2006,10.77379036,10.89134771,10.66170086,10.81131991,337749912
30/01/2006,10.60801697,10.76857172,10.56278432,10.66791422,343212444
31/01/2006,10.75316048,10.9256454,10.53718375,10.70121733,881757360
01/02/2006,9.985682487,9.99114939,9.631269616,9.668798214,1083815100
02/02/2006,9.8430233,10.10299291,9.841531552,10.03638516,471835692
03/02/2006,9.48289299,9.789835109,9.25970851,9.782876458,730540728
06/02/2006,9.571125031,9.690422282,9.433435232,9.576343782,357258384
07/02/2006,9.144138336,9.536328897,9.030558045,9.518682699,664542792
08/02/2006,9.172968864,9.212984658,8.814828978,9.158057064,831331836
09/02/2006,8.916728973,9.305190692,8.850619417,9.225660136,476019504
10/02/2006,9.012166023,9.059140468,8.776802232,8.995763422,608331060
13/02/2006,8.591891289,8.713674775,8.497199845,8.615254434,787923288
14/02/2006,8.532741547,8.740766107,8.509876594,8.582697598,585573840
15/02/2006,8.50937748,8.599348372,8.396293487,8.481790081,517362120
16/02/2006,9.107854843,9.121274897,8.561819958,8.59114726,851767380
17/02/2006,9.164767265,9.249021208,9.037268723,9.192355611,572235192
21/02/2006,9.111084938,9.28381709,9.07430079,9.107356041,347092560
22/02/2006,9.083744049,9.169737892,9.043233848,9.125001545,258788952
23/02/2006,9.396403313,9.475189408,9.081259878,9.086726781,501561936
24/02/2006,9.379751205,9.446110804,9.282574452,9.377266852,259112628
27/02/2006,9.70235157,9.73515867,9.451330566,9.475935417,408079512
28/02/2006,9.012415886,9.88030274,8.413194323,9.772438445,1575926496
01/03/2006,9.066595078,9.18216341,8.979607692,9.160043863,481965552
02/03/2006,9.356140137,9.47170847,9.00197545,9.053670443,732478788
03/03/2006,9.399137497,9.624310981,9.338991153,9.551240888,478001520
06/03/2006,9.148612976,9.528873354,9.124753527,9.46698711,357230412
07/03/2006,9.057897568,9.157312421,8.901320808,9.072064916,414736848
08/03/2006,8.79519558,8.948045338,8.712184276,8.79643823,469354176
09/03/2006,8.524787903,8.910764299,8.487507453,8.832724548,555859584
10/03/2006,8.388092041,8.562067776,8.240212903,8.537213829,772250976
13/03/2006,8.377157211,8.601834415,8.337143309,8.473341362,545150304
14/03/2006,8.727593422,8.757665174,8.266807043,8.379145638,737289972
15/03/2006,8.562067986,8.755925178,8.46339949,8.717899329,510241248
16/03/2006,8.419656754,8.667695194,8.398034454,8.664216342,400267332
